RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	103	+	chr1	10993566	10993566	+	4.89430133035195e-05	0.000468629022022528	-57.1150863625741	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	115	+	chr1	10993578	10993578	+	5.84364069004573e-70	4.84477895458859e-68	-42.0103092783505	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	129	+	chr1	10993592	10993592	+	4.94256886367847e-38	1.93335346103134e-36	-26.0657779662365	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	131	+	chr1	10993594	10993594	+	0.000970169343935381	0.00565408273078288	-29.2768845089903	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	140	+	chr1	10993603	10993603	+	9.52218474320207e-38	3.69613536497788e-36	-28.3440384303989	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	141	+	chr1	10993604	10993604	-	0.00166313547884727	0.00870532235844036	-34.0913934743858	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	145	+	chr1	10993608	10993608	+	0.000284411935842419	0.00209482826947896	-27.6956718845836	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	146	+	chr1	10993609	10993609	-	1.62365385312508e-50	8.71714224046532e-49	-34.0633972220067	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	147	+	chr1	10993610	10993610	+	1.92636396207336e-66	1.48340400295213e-64	-40.1554404145078	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	148	+	chr1	10993611	10993611	-	8.80331777046109e-05	0.000782960099406681	-50.139286656827	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	151	+	chr1	10993614	10993614	+	0.00197539222264477	0.00999277440407885	-27.6691365979381	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	152	+	chr1	10993615	10993615	-	0.000802598591955479	0.00485641688706582	-30.9589773964881	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	157	+	chr1	10993620	10993620	-	1.0843972921789e-154	4.99909815161466e-152	-77.8600429902078	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	164	+	chr1	10993627	10993627	-	1.03547226342272e-65	7.84386572102303e-64	-40.0915939051532	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	189	+	chr1	10993652	10993652	-	8.90623760706754e-05	0.000790639361185841	-41.1136363636364	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	221	+	chr1	10993684	10993684	+	2.27674338022902e-62	1.60431718792318e-60	-62.2893041150437	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	232	+	chr1	10993695	10993695	+	0.000681054580237164	0.00425584916721433	-37.6974550241334	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	241	+	chr1	10993704	10993704	+	3.06041441029591e-43	1.37069591972986e-41	-47.6305387975868	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	265	+	chr1	10993728	10993728	+	0.000224772982041921	0.00172696245544964	-44.1817925988462	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	275	+	chr1	10993738	10993738	-	2.71256748352531e-99	4.11085721055679e-97	-69.2187352747149	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	285	+	chr1	10993748	10993748	-	8.31336327814758e-05	0.000745142962699706	-67.6733935160901	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	287	+	chr1	10993750	10993750	-	0.000752850531544632	0.00461411962891803	-29.2090520418694	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	295	+	chr1	10993758	10993758	-	0.00045334329416292	0.00306615341897041	-52.7577102203968	45
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	313	+	chr1	10993776	10993776	-	0.000561964122840207	0.00364879750417282	-56.421892837936	45
